sector,domain,speed_kmh,tau_min,radius_km,A_std_mean_count,G_normalized_to_90
61,education,15,15,3.750000,527.547271,0.043423
61,education,15,30,7.500000,1896.321972,0.156088
61,education,15,45,11.250000,3953.227938,0.325393
61,education,15,60,15.000000,6518.749889,0.536564
61,education,15,90,22.500000,12149.073354,1.000000
61,education,20,15,5.000000,895.317439,0.052196
61,education,20,30,10.000000,3190.363803,0.185995
61,education,20,45,15.000000,6518.749889,0.380037
61,education,20,60,20.000000,10309.633675,0.601051
61,education,20,90,30.000000,17152.915845,1.000000
61,education,25,15,6.250000,1356.487121,0.065336
61,education,25,30,12.500000,4766.008481,0.229560
61,education,25,45,18.750000,9369.044605,0.451266
61,education,25,60,25.000000,13930.324669,0.670969
61,education,25,90,37.500000,20761.461683,1.000000
62,health_social_assistance,15,15,3.750000,825.672454,0.042362
62,health_social_assistance,15,30,7.500000,3075.103080,0.157771
62,health_social_assistance,15,45,11.250000,6454.078205,0.331137
62,health_social_assistance,15,60,15.000000,10630.177455,0.545402
62,health_social_assistance,15,90,22.500000,19490.638800,1.000000
62,health_social_assistance,20,15,5.000000,1432.853945,0.053222
62,health_social_assistance,20,30,10.000000,5202.499328,0.193239
62,health_social_assistance,20,45,15.000000,10630.177455,0.394846
62,health_social_assistance,20,60,20.000000,16644.125240,0.618212
62,health_social_assistance,20,90,30.000000,26922.840970,1.000000
62,health_social_assistance,25,15,6.250000,2199.739153,0.068866
62,health_social_assistance,25,30,12.500000,7766.238842,0.243125
62,health_social_assistance,25,45,18.750000,15186.704651,0.475430
62,health_social_assistance,25,60,25.000000,22175.672440,0.694225
62,health_social_assistance,25,90,37.500000,31943.141327,1.000000
71,arts_entertainment_recreation,15,15,3.750000,259.778802,0.043883
71,arts_entertainment_recreation,15,30,7.500000,919.105210,0.155262
71,arts_entertainment_recreation,15,45,11.250000,1914.249453,0.323368
71,arts_entertainment_recreation,15,60,15.000000,3183.577641,0.537790
71,arts_entertainment_recreation,15,90,22.500000,5919.715462,1.000000
71,arts_entertainment_recreation,20,15,5.000000,438.527703,0.052359
71,arts_entertainment_recreation,20,30,10.000000,1546.315153,0.184622
71,arts_entertainment_recreation,20,45,15.000000,3183.577641,0.380105
71,arts_entertainment_recreation,20,60,20.000000,5031.278369,0.600713
71,arts_entertainment_recreation,20,90,30.000000,8375.525853,1.000000
71,arts_entertainment_recreation,25,15,6.250000,660.619886,0.065248
71,arts_entertainment_recreation,25,30,12.500000,2315.998446,0.228743
71,arts_entertainment_recreation,25,45,18.750000,4567.412677,0.451110
71,arts_entertainment_recreation,25,60,25.000000,6788.776616,0.670510
71,arts_entertainment_recreation,25,90,37.500000,10124.812460,1.000000
72,accommodation_food_sensitivity,15,15,3.750000,2233.840032,0.043874
72,accommodation_food_sensitivity,15,30,7.500000,8075.408716,0.158612
72,accommodation_food_sensitivity,15,45,11.250000,16846.992976,0.330880
72,accommodation_food_sensitivity,15,60,15.000000,27870.117943,0.547403
72,accommodation_food_sensitivity,15,90,22.500000,50914.151301,1.000000
72,accommodation_food_sensitivity,20,15,5.000000,3808.535157,0.054009
72,accommodation_food_sensitivity,20,30,10.000000,13612.277211,0.193041
72,accommodation_food_sensitivity,20,45,15.000000,27870.117943,0.395226
72,accommodation_food_sensitivity,20,60,20.000000,43539.889560,0.617443
72,accommodation_food_sensitivity,20,90,30.000000,70516.030279,1.000000
72,accommodation_food_sensitivity,25,15,6.250000,5759.713665,0.068865
72,accommodation_food_sensitivity,25,30,12.500000,20344.543242,0.243243
72,accommodation_food_sensitivity,25,45,18.750000,39662.184331,0.474206
72,accommodation_food_sensitivity,25,60,25.000000,58003.764455,0.693507
72,accommodation_food_sensitivity,25,90,37.500000,83638.621384,1.000000
